feature,feature_family,view,n,missing_fraction,mean,median,min,max,range,std
B_side1,color_mean,side1,907,0.0,63.97977127713483,62.94094254858347,54.37327117744655,85.31800276491555,30.944731587469,5.756248833634381
G_side1,color_mean,side1,907,0.0,89.67380701484922,87.06806593797768,58.6672034750216,135.38115609039863,76.71395261537702,17.942108100559082
L_side1,color_mean,side1,907,0.0,101.60525815089771,99.96885305972884,66.66637304706543,147.16430768709986,80.49793464003443,16.525466174871948
R_side1,color_mean,side1,907,0.0,112.76338204291694,111.91582804969129,72.59786442170947,165.23348549331868,92.63562107160921,15.992207820395956
a_side1,color_mean,side1,907,0.0,133.86436925707955,133.95132211855076,118.85157818505932,151.26897930578352,32.41740112072419,7.367405045560494
b_side1,color_mean,side1,907,0.0,146.43188610446708,146.01212117415653,131.55813163796032,165.55113553278366,33.993003894823346,6.039706117214812
B_side2,color_mean,side2,907,0.0,65.66713467435436,64.46896926414817,56.221110484080505,87.21475529270592,30.99364480862541,5.778654093749143
G_side2,color_mean,side2,907,0.0,90.95556457322886,88.32874569483816,60.38202927023718,133.98375161742507,73.60172234718789,17.915632469168372
L_side2,color_mean,side2,907,0.0,102.72833747169615,100.90162797934947,68.55245437202814,145.63444375037437,77.08198937834624,16.421704141991725
R_side2,color_mean,side2,907,0.0,113.19988743122896,112.08971727194917,74.24355798525099,161.9032957940977,87.6597378088467,15.856792821078624
a_side2,color_mean,side2,907,0.0,133.50249323405419,133.09033521303257,118.63413318063188,151.57755967908042,32.943426498448545,7.358814088257736
b_side2,color_mean,side2,907,0.0,146.0168360869061,145.46400683924506,131.5618041912246,163.84254354114833,32.28073934992372,6.0006047291284235
B_top,color_mean,top,907,0.0,64.1734945805084,63.02684232600597,53.125602906160324,86.16550736195413,33.0399044557938,6.2889939859280295
G_top,color_mean,top,907,0.0,92.933502957651,90.89943897728318,58.18078993856302,144.67739679234847,86.49660685378547,18.95393571363885
L_top,color_mean,top,907,0.0,103.42681450003727,101.87776742700487,66.15820882543169,154.4141318845766,88.2559230591449,16.99492344911293
R_top,color_mean,top,907,0.0,110.85538385894583,111.1953758504342,72.16633965791804,166.44835550928786,94.28201585136982,14.967700698201202
a_top,color_mean,top,907,0.0,131.09512605695184,130.21967512656317,116.76848618024908,150.1888543327825,33.42036815253343,7.791664033739524
b_top,color_mean,top,907,0.0,147.214598718021,147.10576873815256,131.16853394244964,168.14566186278017,36.97712792033053,6.006223931042487
B_std_side1,color_std,side1,907,0.0,5.794634455073872,5.363221845140541,2.8441682735808915,19.4432690900875,16.59910081650661,1.9325939578147922
G_std_side1,color_std,side1,907,0.0,10.540764001171436,10.143606368224562,3.1415206680685355,23.98706787287484,20.8455472048063,3.8676126147986487
L_std_side1,color_std,side1,907,0.0,9.93341170381985,9.465085781547483,3.736324651452351,21.516037553083603,17.779712901631253,3.2171985157364715
R_std_side1,color_std,side1,907,0.0,9.68906738862365,9.188354998642149,3.803493960415932,23.223246683152638,19.419752722736707,2.909658102480302
a_std_side1,color_std,side1,907,0.0,3.8981819179593846,3.718411397350604,1.03915657992311,10.37647239536791,9.3373158154448,1.5571097524596471
b_std_side1,color_std,side1,907,0.0,3.194710156060864,3.0300603340053742,1.2021397954200836,7.4978610549099125,6.295721259489829,1.0114038794072602
B_std_side2,color_std,side2,907,0.0,5.7074000593906185,5.307343349156014,2.451441267540043,25.846779214676346,23.3953379471363,2.1195902205335138
G_std_side2,color_std,side2,907,0.0,10.379254086437623,9.885121920618314,3.2813931117277324,25.659066324007856,22.377673212280122,3.887294963120581
L_std_side2,color_std,side2,907,0.0,9.750647413917797,9.280869094139689,3.912981520381229,22.7324977124002,18.81951619201897,3.2230335492900735
R_std_side2,color_std,side2,907,0.0,9.472026384639129,8.99504791650419,4.372523847361132,23.87099099098021,19.49846714361908,2.884764863431919
a_std_side2,color_std,side2,907,0.0,3.8670494346161783,3.7195223571808813,0.9160783381641366,10.215332767678142,9.299254429514004,1.5508624335816301
b_std_side2,color_std,side2,907,0.0,3.170979467084883,3.038882644829785,1.14337951646666,7.251424600086144,6.108045083619484,1.0072310924488252
B_std_top,color_std,top,907,0.0,5.777096668172614,5.567800038089462,1.965712031913065,26.02195432810069,24.056242296187627,2.1252651167319563
G_std_top,color_std,top,907,0.0,13.74109757548537,13.977232029014756,2.5744154221756603,29.48462396675014,26.910208544574477,5.067679753699476
