apple_id,dataset,harvest,Location,SACCBaum,PL.Code,Sorte,public_domain_label,public_subset
11.93.0.108_001_20210906_0754_35,Loc_1_2021,2021,Loc_1,11.93.0.108,14-001-1118,unbekannt_1118,Loc_1_2021,38-class Baseline Subset
11.93.0.108_002_20210906_0754_46,Loc_1_2021,2021,Loc_1,11.93.0.108,14-001-1118,unbekannt_1118,Loc_1_2021,38-class Baseline Subset
11.93.0.108_003_20210906_0754_59,Loc_1_2021,2021,Loc_1,11.93.0.108,14-001-1118,unbekannt_1118,Loc_1_2021,38-class Baseline Subset
11.93.0.108_004_20210906_0755_11,Loc_1_2021,2021,Loc_1,11.93.0.108,14-001-1118,unbekannt_1118,Loc_1_2021,38-class Baseline Subset
11.93.0.108_005_20210906_0755_26,Loc_1_2021,2021,Loc_1,11.93.0.108,14-001-1118,unbekannt_1118,Loc_1_2021,38-class Baseline Subset
11.93.0.108_006_20210906_0755_36,Loc_1_2021,2021,Loc_1,11.93.0.108,14-001-1118,unbekannt_1118,Loc_1_2021,38-class Baseline Subset
11.93.0.108_007_20210906_0755_48,Loc_1_2021,2021,Loc_1,11.93.0.108,14-001-1118,unbekannt_1118,Loc_1_2021,38-class Baseline Subset
11.93.0.108_008_20210906_0756_00,Loc_1_2021,2021,Loc_1,11.93.0.108,14-001-1118,unbekannt_1118,Loc_1_2021,38-class Baseline Subset
11.93.0.1093_001_20210906_0752_01,Loc_1_2021,2021,Loc_1,11.93.0.1093,14-001-1118,unbekannt_1118,Loc_1_2021,38-class Baseline Subset
11.93.0.1093_002_20210906_0752_11,Loc_1_2021,2021,Loc_1,11.93.0.1093,14-001-1118,unbekannt_1118,Loc_1_2021,38-class Baseline Subset
11.93.0.1093_003_20210906_0752_24,Loc_1_2021,2021,Loc_1,11.93.0.1093,14-001-1118,unbekannt_1118,Loc_1_2021,38-class Baseline Subset
11.93.0.1093_004_20210906_0752_36,Loc_1_2021,2021,Loc_1,11.93.0.1093,14-001-1118,unbekannt_1118,Loc_1_2021,38-class Baseline Subset
11.93.0.1093_005_20210906_0752_45,Loc_1_2021,2021,Loc_1,11.93.0.1093,14-001-1118,unbekannt_1118,Loc_1_2021,38-class Baseline Subset
11.93.0.1093_006_20210906_0752_57,Loc_1_2021,2021,Loc_1,11.93.0.1093,14-001-1118,unbekannt_1118,Loc_1_2021,38-class Baseline Subset
11.93.0.1093_007_20210906_0753_09,Loc_1_2021,2021,Loc_1,11.93.0.1093,14-001-1118,unbekannt_1118,Loc_1_2021,38-class Baseline Subset
11.93.0.1093_008_20210906_0753_23,Loc_1_2021,2021,Loc_1,11.93.0.1093,14-001-1118,unbekannt_1118,Loc_1_2021,38-class Baseline Subset
