PL.Code,Sorte,n_apples,n_trees,min_tree_apples,max_tree_apples
14-001-1118,unbekannt_1118,24,3,8,8
14-001-1270,Paradieser,24,3,8,8
14-001-1296,Wild_Balgacher,24,3,8,8
14-001-1300,Engelshofer,24,3,8,8
14-001-1314,Egelshofer,24,3,8,8
14-001-1353,Spitzkasteler,24,3,8,8
14-001-1516,unbekannt_1516,24,3,8,8
14-001-1572,Maigold,24,3,8,8
14-001-1579,unbekannt_1579,24,3,8,8
14-001-1586,Saemling_Ernst_Bosch,24,3,8,8
14-001-1714,Gawiler,24,3,8,8
14-001-1873,Diacciola,24,3,8,8
14-001-1878,Kanada_Reinette,24,3,8,8
14-001-1953,Eierapfel,24,3,8,8
14-001-1991,unbekannt_1991,24,3,8,8
14-001-2042,unbekannt_2042,24,3,8,8
14-001-2229,unbekannt_2229,24,3,8,8
14-001-2241,Franc_roseau,23,3,7,8
14-001-2266,Pomme_Françoise,24,3,8,8
14-001-2551,Lambertine,24,3,8,8
14-001-2640,Selvatico,24,2,8,16
14-001-2651,Lop002,24,3,8,8
14-001-2722,Sole_di_Sarone,25,3,8,9
14-001-2748,Iduna,24,3,8,8
14-001-2791,Renetta_grigia,24,3,8,8
14-001-2860,Prob._Locale,24,3,8,8
14-001-3019,Rustica,24,3,8,8
14-001-3234,ACW_13490,24,3,8,8
14-001-3237,ACW_16426,24,3,8,8
14-001-3239,ACW_21805,24,3,8,8
14-001-3244,ACW_8099,24,3,8,8
14-001-3245,ACW_8259,24,3,8,8
14-001-3247,ACW_11567,24,3,8,8
14-001-358,Promme_Francaise,20,3,4,8
14-001-458,Guntalinger,24,3,8,8
14-001-636,Meligro,24,3,8,8
14-001-765,Reinette_de_Chevroux,23,3,7,8
14-001-956,Strichler,24,3,8,8
