variety,mean_support_per_fold
14-001-1118,8.0
14-001-1270,8.0
14-001-1296,8.0
14-001-1300,8.0
14-001-1314,8.0
14-001-1353,8.0
14-001-1516,8.0
14-001-1572,8.0
14-001-1579,8.0
14-001-1586,8.0
14-001-1714,8.0
14-001-1873,8.0
14-001-1878,8.0
14-001-1953,8.0
14-001-1991,8.0
14-001-2042,8.0
14-001-2229,8.0
14-001-2241,7.666666666666667
14-001-2266,8.0
14-001-2551,8.0
14-001-2640,10.666666666666666
14-001-2651,8.0
14-001-2722,8.333333333333334
14-001-2748,8.0
14-001-2791,8.0
14-001-2860,8.0
14-001-3019,8.0
14-001-3234,8.0
14-001-3237,8.0
14-001-3239,8.0
14-001-3244,8.0
14-001-3245,8.0
14-001-3247,8.0
14-001-358,6.666666666666667
14-001-458,8.0
14-001-636,8.0
14-001-765,7.666666666666667
14-001-956,8.0
