actual_code,predicted_code,actual_label,predicted_label,confusion_percent,mean_support_per_fold
14-001-358,14-001-2791,14-001-358 (Promme Francaise),14-001-2791 (Renetta grigia),16.666666666666668,6.666666666666667
14-001-765,14-001-1296,14-001-765 (Reinette de Chevroux),14-001-1296 (Wild Balgacher),8.928571428571429,7.666666666666667
14-001-765,14-001-2042,14-001-765 (Reinette de Chevroux),14-001-2042 (unbekannt 2042),8.928571428571429,7.666666666666667
14-001-1296,14-001-3247,14-001-1296 (Wild Balgacher),14-001-3247 (ACW 11567),8.333333333333334,8.0
14-001-2722,14-001-1586,14-001-2722 (Sole di Sarone),14-001-1586 (Sämling Ernst Bosch),7.87037037037037,8.333333333333334
14-001-765,14-001-2791,14-001-765 (Reinette de Chevroux),14-001-2791 (Renetta grigia),4.761904761904762,7.666666666666667
14-001-2722,14-001-1314,14-001-2722 (Sole di Sarone),14-001-1314 (Egelshofer),4.166666666666667,8.333333333333334
14-001-1118,14-001-1991,14-001-1118 (unbekannt 1118),14-001-1991 (unbekannt 1991),4.166666666666667,8.0
14-001-1296,14-001-2551,14-001-1296 (Wild Balgacher),14-001-2551 (Lambertine),4.166666666666667,8.0
14-001-1296,14-001-765,14-001-1296 (Wild Balgacher),14-001-765 (Reinette de Chevroux),4.166666666666667,8.0
14-001-1300,14-001-2860,14-001-1300 (Engelshofer),14-001-2860 (Prob. Locale),4.166666666666667,8.0
14-001-1314,14-001-3234,14-001-1314 (Egelshofer),14-001-3234 (ACW 13490),4.166666666666667,8.0
14-001-1314,14-001-458,14-001-1314 (Egelshofer),14-001-458 (Guntalinger),4.166666666666667,8.0
14-001-1353,14-001-2651,14-001-1353 (Spitzkasteler),14-001-2651 (Lop002),4.166666666666667,8.0
14-001-1516,14-001-1314,14-001-1516 (unbekannt 1516),14-001-1314 (Egelshofer),4.166666666666667,8.0
14-001-1572,14-001-1991,14-001-1572 (Maigold),14-001-1991 (unbekannt 1991),4.166666666666667,8.0
14-001-1572,14-001-2860,14-001-1572 (Maigold),14-001-2860 (Prob. Locale),4.166666666666667,8.0
14-001-1714,14-001-1314,14-001-1714 (Gawiler),14-001-1314 (Egelshofer),4.166666666666667,8.0
14-001-1873,14-001-2042,14-001-1873 (Diacciola),14-001-2042 (unbekannt 2042),4.166666666666667,8.0
14-001-1873,14-001-458,14-001-1873 (Diacciola),14-001-458 (Guntalinger),4.166666666666667,8.0
14-001-1991,14-001-1572,14-001-1991 (unbekannt 1991),14-001-1572 (Maigold),4.166666666666667,8.0
14-001-2042,14-001-1296,14-001-2042 (unbekannt 2042),14-001-1296 (Wild Balgacher),4.166666666666667,8.0
14-001-2042,14-001-1714,14-001-2042 (unbekannt 2042),14-001-1714 (Gawiler),4.166666666666667,8.0
14-001-2229,14-001-1314,14-001-2229 (unbekannt 2229),14-001-1314 (Egelshofer),4.166666666666667,8.0
14-001-2229,14-001-1714,14-001-2229 (unbekannt 2229),14-001-1714 (Gawiler),4.166666666666667,8.0
14-001-2229,14-001-2748,14-001-2229 (unbekannt 2229),14-001-2748 (Iduna),4.166666666666667,8.0
14-001-2229,14-001-3234,14-001-2229 (unbekannt 2229),14-001-3234 (ACW 13490),4.166666666666667,8.0
14-001-2266,14-001-1516,14-001-2266 (Pomme Françoise),14-001-1516 (unbekannt 1516),4.166666666666667,8.0
14-001-2266,14-001-2042,14-001-2266 (Pomme Françoise),14-001-2042 (unbekannt 2042),4.166666666666667,8.0
14-001-2651,14-001-3019,14-001-2651 (Lop002),14-001-3019 (Rustica),4.166666666666667,8.0
14-001-2748,14-001-2042,14-001-2748 (Iduna),14-001-2042 (unbekannt 2042),4.166666666666667,8.0
14-001-2791,14-001-358,14-001-2791 (Renetta grigia),14-001-358 (Promme Francaise),4.166666666666667,8.0
14-001-2791,14-001-765,14-001-2791 (Renetta grigia),14-001-765 (Reinette de Chevroux),4.166666666666667,8.0
14-001-3019,14-001-2860,14-001-3019 (Rustica),14-001-2860 (Prob. Locale),4.166666666666667,8.0
14-001-3237,14-001-3234,14-001-3237 (ACW 16426),14-001-3234 (ACW 13490),4.166666666666667,8.0
14-001-3244,14-001-1296,14-001-3244 (ACW 8099),14-001-1296 (Wild Balgacher),4.166666666666667,8.0
14-001-3244,14-001-636,14-001-3244 (ACW 8099),14-001-636 (Meligro),4.166666666666667,8.0
14-001-458,14-001-2748,14-001-458 (Guntalinger),14-001-2748 (Iduna),4.166666666666667,8.0
14-001-636,14-001-1579,14-001-636 (Meligro),14-001-1579 (unbekannt 1579),4.166666666666667,8.0
14-001-636,14-001-3237,14-001-636 (Meligro),14-001-3237 (ACW 16426),4.166666666666667,8.0
14-001-636,14-001-765,14-001-636 (Meligro),14-001-765 (Reinette de Chevroux),4.166666666666667,8.0
14-001-765,14-001-956,14-001-765 (Reinette de Chevroux),14-001-956 (Strichler),4.166666666666667,7.666666666666667
