fold,apple_id,PL.Code,tree_id,role,split_strategy,n_trees_for_class,heldout_tree_id,class_apples,class_tree_apples_min,class_tree_apples_max
0,11.93.0.108_001_20210906_0754_35,14-001-1118,11.93.0.108,test,strict_loto,3,11.93.0.108,24,8,8
0,11.93.0.108_002_20210906_0754_46,14-001-1118,11.93.0.108,test,strict_loto,3,11.93.0.108,24,8,8
0,11.93.0.108_003_20210906_0754_59,14-001-1118,11.93.0.108,test,strict_loto,3,11.93.0.108,24,8,8
0,11.93.0.108_004_20210906_0755_11,14-001-1118,11.93.0.108,test,strict_loto,3,11.93.0.108,24,8,8
0,11.93.0.108_005_20210906_0755_26,14-001-1118,11.93.0.108,test,strict_loto,3,11.93.0.108,24,8,8
0,11.93.0.108_006_20210906_0755_36,14-001-1118,11.93.0.108,test,strict_loto,3,11.93.0.108,24,8,8
0,11.93.0.108_007_20210906_0755_48,14-001-1118,11.93.0.108,test,strict_loto,3,11.93.0.108,24,8,8
0,11.93.0.108_008_20210906_0756_00,14-001-1118,11.93.0.108,test,strict_loto,3,11.93.0.108,24,8,8
0,11.93.0.1093_001_20210906_0752_01,14-001-1118,11.93.0.1093,train_val,strict_loto,3,11.93.0.108,24,8,8
0,11.93.0.1093_002_20210906_0752_11,14-001-1118,11.93.0.1093,train_val,strict_loto,3,11.93.0.108,24,8,8
0,11.93.0.1093_003_20210906_0752_24,14-001-1118,11.93.0.1093,train_val,strict_loto,3,11.93.0.108,24,8,8
0,11.93.0.1093_004_20210906_0752_36,14-001-1118,11.93.0.1093,train_val,strict_loto,3,11.93.0.108,24,8,8
0,11.93.0.1093_005_20210906_0752_45,14-001-1118,11.93.0.1093,train_val,strict_loto,3,11.93.0.108,24,8,8
0,11.93.0.1093_006_20210906_0752_57,14-001-1118,11.93.0.1093,train_val,strict_loto,3,11.93.0.108,24,8,8
0,11.93.0.1093_007_20210906_0753_09,14-001-1118,11.93.0.1093,train_val,strict_loto,3,11.93.0.108,24,8,8
0,11.93.0.1093_008_20210906_0753_23,14-001-1118,11.93.0.1093,train_val,strict_loto,3,11.93.0.108,24,8,8
0,11.93.0.703_001_20210906_0756_30,14-001-1118,11.93.0.703,train_val,strict_loto,3,11.93.0.108,24,8,8
0,11.93.0.703_002_20210906_0756_41,14-001-1118,11.93.0.703,train_val,strict_loto,3,11.93.0.108,24,8,8
0,11.93.0.703_003_20210906_0756_51,14-001-1118,11.93.0.703,train_val,strict_loto,3,11.93.0.108,24,8,8
0,11.93.0.703_004_20210906_0757_02,14-001-1118,11.93.0.703,train_val,strict_loto,3,11.93.0.108,24,8,8
0,11.93.0.703_005_20210906_0757_15,14-001-1118,11.93.0.703,train_val,strict_loto,3,11.93.0.108,24,8,8
0,11.93.0.703_006_20210906_0757_24,14-001-1118,11.93.0.703,train_val,strict_loto,3,11.93.0.108,24,8,8
0,11.93.0.703_007_20210906_0757_34,14-001-1118,11.93.0.703,train_val,strict_loto,3,11.93.0.108,24,8,8
0,11.93.0.703_008_20210906_0757_44,14-001-1118,11.93.0.703,train_val,strict_loto,3,11.93.0.108,24,8,8
1,11.93.0.108_001_20210906_0754_35,14-001-1118,11.93.0.108,train_val,strict_loto,3,11.93.0.1093,24,8,8
1,11.93.0.108_002_20210906_0754_46,14-001-1118,11.93.0.108,train_val,strict_loto,3,11.93.0.1093,24,8,8
1,11.93.0.108_003_20210906_0754_59,14-001-1118,11.93.0.108,train_val,strict_loto,3,11.93.0.1093,24,8,8
